term,window,estimate,p.value,outcome
BDCPP,prenatal,-0.046520826608611086,0.05983420766251546,Cho
DPHP,birth,0.226083165829035,0.0908803008536494,NAA
DPHP,prenatal,0.3486488730527211,0.008605508221009472,NAA
DPHP,prenatal,0.13551969089154886,0.08873579932446851,Cr
DPHP,prenatal,0.22537457155133764,0.019393038892321135,Glu
DPHP,three_year,0.2374576324299078,0.041515286077357105,Glu
DPHP,prenatal,0.29108190406841367,0.01442062700879232,Glx
